id,brand,car_model,type,desc,problem,datetime,status
486270,广汽丰田,雷凌,2017款 185T CVT 精英版 国V 改款,广汽丰田雷凌后减震器出现漏油的现象,"G25,",2020-06-20,信息审核
486268,长安马自达,马自达3 昂克赛拉,2020款 2.0L 自动 质雅版,长安马自达昂克赛拉方向盘锁死故障灯亮,"D123,D265,D291,",2020-06-20,信息审核
486267,一汽红旗,红旗HS7,2019款 3.0T 自动 四驱 旗悦版,红旗HS7换挡机构故障导致P挡挂不上,"B184,",2020-06-20,信息审核
486266,一汽-大众,速腾,2019款 280TSI DSG 舒适型 国VI,一汽大众速腾升降挡时变速箱异响严重,"B33,",2020-06-20,处理反馈
486262,广汽三菱,劲炫ASX,2018款 2.0L CVT 两驱 智橙版,广汽三菱劲炫触摸屏死机厂家未回复,"H134,",2020-06-20,厂家受理
486261,比亚迪,比亚迪e2,2019款 400出行版,比亚迪e2下雨天前挡风玻璃上的雾气无法吹干,"H101,",2020-06-20,处理反馈
486260,上汽大众,凌渡,2017款 230TSI 手动 风尚版,上汽大众凌渡一键升降失灵销售不管售后问题,"H67,I295,",2020-06-20,信息审核
486257,江铃汽车,域虎3,2018款 2.5T 四驱 进取版 长轴距 柴油,江铃域虎3底盘异响 SVS故障灯亮,"A34,G56,",2020-06-20,信息审核
486255,东风日产,骐达TIIDA,2020款 1.6L CVT 智行版,东风日产骐达减震器漏油售后服务态度差,"G25,I293,",2020-06-20,处理反馈
486254,上汽大众,朗逸,2019款 1.5L 自动 舒适版 国VI,上汽大众朗逸发动机存在金属撞击声,"A9,",2020-06-20,信息审核
486252,上汽集团,名爵6,2019款 20T 自动 运动版,上汽名爵6保养后异响且存在汽油味,"A9,J300,",2020-06-20,厂家受理
486251,一汽-大众,宝来,2019款 1.5L 手动 舒适型,一汽大众宝来发动机故障灯亮 离合器异响,"A34,C65,",2020-06-20,用户评分
486250,吉利汽车,缤瑞,2019款 200T DCT 缤驰版,吉利缤瑞变速箱油封损坏导致漏油,"B22,",2020-06-20,信息审核
486249,吉利汽车,缤越,2019款 运动款 260T DCT Battle 国VI 运动款,吉利缤越厂家涉嫌欺诈不予升级车机系统,"E43,H168,L314,M284,",2020-06-20,信息审核
486248,广汽丰田,凯美瑞,2018款 2.0G 自动 豪华版,广汽丰田凯美瑞正常行驶中天窗异响,"H89,",2020-06-20,信息审核
486246,北京现代,领动,2016款 1.6L 自动 智炫·精英型,北京现代领动转向异响并且明显卡顿,"D59,D123,",2020-06-20,信息审核
486244,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳大灯透镜出现白雾水珠亮度不够,"H82,",2020-06-20,信息审核
486242,一汽-大众,探岳,2019款 征途版 280TSI 两驱 豪华型 国Ⅵ,一汽大众探岳大灯白内障模糊不清存在隐患,"H82,",2020-06-19,处理反馈
486241,上汽大众,途观L,2018款 330TSI 自动 两驱 豪华版,上汽大众途观L左后轮偏磨吃胎 四缸漏油,"A12,G245,",2020-06-19,信息审核
486240,长安马自达,马自达3 昂克赛拉,2016款 1.5L 自动 舒适型 三厢,长安马自达昂克赛拉行驶过程中空调不制冷,"H101,",2020-06-19,信息审核
486239,吉利汽车,缤越,2019款 260T DCT Battle 运动款 国V,吉利缤越导航无法定位 倒车镜风噪大,"H155,H211,L314,",2020-06-19,信息审核
486237,东风本田,本田CR-V,2017款 240TURBO 自动 两驱 都市版,东风本田CR-V变速箱渗油希望尽快解决,"B22,",2020-06-19,用户评分
486235,吉利汽车,博瑞,2020款 1.5T MHEV 耀享版,吉利博瑞旧车置换补贴款承诺不兑现,"L313,",2020-06-19,信息审核
486234,吉利汽车,博越,2020款 1.8TD DCT 智尊PRO,吉利博越原地打方向异响 无挡位灯及雾灯,"D59,M279,",2020-06-19,信息审核
486233,一汽-大众,迈腾,2019款 330TSI DSG 领先型 国V,一汽大众迈腾低速加速时变速箱存在口哨声,"B33,",2020-06-19,信息审核
486232,观致汽车,观致5,2018款 1.6T 自动 尊贵型,观致5换挡逻辑混乱且变速箱脱挡,"B246,B69,",2020-06-19,信息审核
486227,一汽-大众,高尔夫·嘉旅,2016款 1.6L 自动 舒适型,一汽大众高尔夫嘉旅变速箱故障灯亮,"B96,",2020-06-19,处理反馈
486224,北京奔驰,奔驰C级,2020款 C 260 运动版,北京奔驰C级韩泰轮胎容易鼓包破损,"F39,",2020-06-19,信息审核
486222,一汽-大众奥迪,奥迪Q2L,2020款 35TFSI 时尚动感型,一汽大众奥迪Q2L变速箱异响要求解决,"B33,",2020-06-19,信息审核
486221,上汽大众,朗逸,2013款 1.6L 自动 经典风尚版,上汽大众朗逸车内异味严重无法解决,"H185,",2020-06-19,信息审核
486220,一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版Pro,一汽大众探岳车灯进水干燥后有水印,"H88,",2020-06-19,处理反馈
486218,Jeep（进口）,指南者（进口）,2014款 2.0L 自动 两驱 运动版,进口Jeep指南者车内异味严重无法散去,"H185,",2020-06-19,信息审核
486215,广汽本田,皓影,2020款 240TURBO CVT 两驱 豪华版,广汽本田皓影销售承诺不兑现 不给合同	,"I293,L313,O353,",2020-06-19,信息审核
486214,东风雪铁龙,雪铁龙C4L,2014款 1.6THP 自动 智驱版 劲智型,东风雪铁龙C4L发动机漏油 漏防冻液,"A12,A37,",2020-06-19,信息审核
486213,领克汽车,领克03,2019款 2.0TD 自动 劲Pro版,领克03故障灯亮 4S店错误判断维修,"A34,J303,",2020-06-19,信息审核
486208,路虎进口,揽胜星脉,2019款 250PS R-DYNAMIC S,路虎揽胜星脉颠簸路车内低频共鸣压耳,"H268,",2020-06-19,厂家受理
486206,吉利汽车,星越,2020款 350T 驭星者AWD,吉利星越车机系统存在虚假宣传 空调异味,"H121,M279,",2020-06-19,信息审核
486200,一汽-大众,宝来,2019款 1.5L 自动 舒适型,一汽大众宝来行驶中有晃动跳动现象,"G162,",2020-06-19,处理反馈
486194,一汽-大众,速腾,2014款 1.4TSI 自动 时尚型,一汽大众速腾前挡风玻璃自然开裂,"H113,",2020-06-19,信息审核
486191,广汽本田,缤智,2020款 1.5L CVT 先锋版,广汽本田缤智油箱口附近漆面脱落,"H81,",2020-06-19,信息审核
486190,吉利汽车,缤越,2019款 260T DCT 骑士 国V,吉利缤越4S店喷漆质量差导致起泡,"J303,",2020-06-19,信息审核
486188,东风雪铁龙,世嘉,2011款 1.6 自动 时尚型 三厢,东风雪铁龙世嘉3挡锁死提示变速箱故障,"B96,B84,",2020-06-19,信息审核
486187,东风标致,标致408,2016款 1.6T 自动 豪华版,东风标致408四个轮毂不同程度氧化,"H243,",2020-06-19,信息审核
486186,上汽大众,朗逸,2019款 280TSI DSG 舒适版 国VI,上汽大众朗逸前挡风玻璃无故开裂,"H113,",2020-06-19,信息审核
486185,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国V,一汽大众探岳大灯里面有雾气不予解决,"H88,",2020-06-19,处理反馈
486184,广汽本田,雅阁,2018款 260TURBO 精英版 国V,广汽本田雅阁机油增多超过标尺上限,"A339,",2020-06-19,信息审核
486183,华晨宝马,宝马5系,2014款 528Li 领先型,华晨宝马5系左前大灯脱皮影响驾驶,"H220,",2020-06-19,信息审核
486182,东风乘用车,风神AX7,2019款 1.6T 自动 AI领航型 国V,东风风神AX7转向异响 开关车门异响,"D59,H72,",2020-06-19,处理反馈
486181,新特汽车,SITECH DEV 1,2018款 创睿版,新特SITECH DEV 1无法启动4S店无配件更换,"N318,",2020-06-19,信息审核
486178,东风乘用车,风神AX7,2018款 1.6T 自动 豪华型,东风风神AX7踩油门加速时发动机无动力,"A163,",2020-06-19,处理反馈
486177,一汽丰田,威驰FS,2017款 1.5L CVT 锋驰版,一汽丰田威驰FS正副驾车门有断裂现象,"H168,",2020-06-19,信息审核
486176,吉利汽车,星越,2019款 350T 耀星者,吉利星越车机卡顿 转向时存在异响,"D59,M279,",2020-06-19,信息审核
486170,广汽本田,飞度,2016款 1.5L LX CVT 舒适型,广汽本田飞度启动后存在打齿声音,"A9,",2020-06-19,信息审核
486166,吉利汽车,经典帝豪,2013款 1.5L 手动 进取型 三厢,吉利经典帝豪车身生锈 行驶时变速箱异响,"B33,H79,H220,",2020-06-19,信息审核
486165,长安汽车,长安CS75 PLUS,2020款 1.5T 自动 尊贵型,长安CS75 PLUS导航定位不准确发生偏移,"H21,",2020-06-19,处理反馈
486163,吉利汽车,星越,2019款 300T 耀星者,吉利星越方向左偏 车机黑屏并且死机,"G117,H155,M279,",2020-06-19,信息审核
486162,广汽丰田,汉兰达,2018款 2.0T 四驱 骑士版 7座 国VI,广汽丰田汉兰达升级的多媒体系统与宣传不符,"M279,",2020-06-19,信息审核
486154,奔驰（进口）,奔驰GLE,2018款 GLE 400 4MATIC 臻藏版,进口奔驰GLE车内异味希望厂家处理问题,"H185,",2020-06-19,信息审核
486151,长安汽车,长安CS75 PLUS,2020款 2.0T 自动 领航型,长安CS75 PLUS车载微信功能与宣传不符,"M279,",2020-06-19,处理反馈
486149,一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版,一汽大众探岳变速箱异响燃油泵声音大,"B33,H78,",2020-06-19,处理反馈
486148,长安跨越,新豹T3,2018款 1.2L 舒适型 单排 后单轮 标准货箱,长安跨越新豹T3配件质量差要求退换车,"N317,",2020-06-19,处理反馈
486146,上汽大众,朗逸,2017款 1.6L 自动 舒适版,上汽大众朗逸刹车时前轮位置存在异响,"E43,",2020-06-19,信息审核
486145,比亚迪,比亚迪S7,2015款 2.0T 自动 豪华型,比亚迪S7换挡困难 变速箱抖动 模块压力不够,"B20,B95,B115,",2020-06-19,用户评分
486144,吉利汽车,博越,2020款 1.8TD DCT 智尊PRO,吉利博越挡位指示灯与厂家宣传不符,"M279,",2020-06-19,信息审核
486143,上汽集团,名爵6,2017款 20T 自动 Trophy尊享互联网版 国V,上汽名爵6电瓶亏电希望尽快处理,"H146,",2020-06-19,厂家受理
486142,沃尔沃亚太,沃尔沃S60,2017款 2.0T T4 智远版,亚太沃尔沃S60高压油泵故障导致故障灯亮,"A34,H78,",2020-06-19,信息审核
486140,吉利汽车,博越,2016款 1.8TD 自动 两驱 智慧型,吉利博越四个轮毂发生不同程度氧化,"H243,",2020-06-19,信息审核
486136,东风日产,楼兰,2015款 2.5L 两驱 智尚版 XL,东风日产楼兰变速箱压力控制阀故障,"B84,",2020-06-19,处理反馈
486135,上汽大众,途安,2018款 途安L 280TSI DSG 舒适版 7座 国VI,上汽大众途安启停失灵自动驻车失灵故障灯亮,"E159,H170,",2020-06-19,信息审核
486133,上汽通用五菱,宝骏E100,2019款 250KM 智行版,宝骏E100车身掉漆 偶尔无法换挡,"B20,H81,",2020-06-19,厂家受理
486131,长安马自达,马自达3 昂克赛拉,2016款 1.5L 自动 豪华型 三厢,长安马自达昂克赛拉中控屏大面积开裂,"H134,H168,",2020-06-19,信息审核
486128,一汽-大众奥迪,奥迪Q5,2016款 40 TFSI 进取型,一汽大众奥迪Q5车内异味召回后依然很大,"H185,Q323,",2020-06-19,信息审核
486127,吉利汽车,帝豪,2017款 1.5L 手动 向上互联版 三厢 百万款,吉利帝豪打方向盘时有异响一直未解决,"D59,",2020-06-19,信息审核
486125,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳中控死机 赠送保养承诺不兑现,"H134,I295,L313,N317,",2020-06-19,处理反馈
486122,一汽-大众,宝来,2019款 改款 1.5L 手动 舒适型 国VI,一汽大众宝来天窗密封条损坏希望保修,"H48,",2020-06-19,处理反馈
486117,捷豹,捷豹F-PACE,2019款 2.0T 四驱 都市尊享版,捷豹F-PACE经销商销售维修过的问题车,"M284,",2020-06-19,用户评分
486115,一汽-大众奥迪,奥迪Q5,2010款 2.0TFSI  双离合 舒适型,一汽大众奥迪Q5变速箱功能失效无法挂挡,"B20,B96,",2020-06-19,信息审核
486113,一汽马自达,睿翼,2011款 2.0 自动 精英版,一汽马自达睿翼仪表台开裂发粘厂家未回复,"H176,",2020-06-19,信息审核
486112,广汽三菱,欧蓝德,2016款 2.4L 四驱精英版 5座,广汽三菱欧蓝德座椅生锈行驶时方向跑偏,"G117,H79,",2020-06-19,厂家受理
486109,众泰汽车,众泰T700,2017款 1.8T 双离合 尊贵型 贺岁版,众泰T700打方向沉重厂家无配件提供,"D156,D57,N318,",2020-06-19,厂家受理
486106,北京奔驰,奔驰C级,2015款 200 L 运动型,北京奔驰C级4S店更换发动机未变更登记信息,"J299,",2020-06-19,信息审核
486105,北汽昌河,昌河Q35,2016款 1.5L 自动 炫酷版,北汽昌河Q35仪表显示安全气囊故障灯亮,"H103,",2020-06-19,信息审核
486101,东风标致,标致408,2015款 1.2T 自动 豪华版,东风标致408发动机故障灯报警希望处理,"A34,",2020-06-19,信息审核
486095,众泰汽车,众泰T700,2017款 1.8T 双离合 尊贵型,众泰T700门把手损坏前轴承损坏右后胎压失灵,"G125,H203,H233,",2020-06-19,厂家受理
486092,北京现代,途胜,2015款 1.6T   双离合 两驱 智能型,北京现代途胜发动机烧机油希望尽快解决,"A63,",2020-06-19,信息审核
486089,东风雪铁龙,雪铁龙C6,2017款 380THP 尊贵型,东风雪铁龙C6 SOS灯常亮要求质保维修,"H170,",2020-06-19,处理反馈
486085,上汽斯柯达,昊锐,2012款 1.8TSI 自动 优雅版,斯柯达昊锐车内异味越来越严重影响健康,"H185,",2020-06-19,信息审核
486084,东风启辰,晨风,2014款 6.6KW 纯电动  领风版,启辰晨风动力电池衰减30%导致续航里程不足,"H343,",2020-06-19,信息审核
486083,领克汽车,领克01,2017款 2.0T 自动 两驱 型 Pro,领克01低速加速发动机异响 4S店无法解决,"A9,I295,",2020-06-19,处理反馈
486080,吉利汽车,嘉际,2019款 1.5TD MHEV DCT 臻享型,吉利嘉际连接蓝牙通话无声音 导航不予升级,"H21,H155,L313,",2020-06-19,处理反馈
486079,长安马自达,马自达3 昂克赛拉,2016款 2.0L 自动 旗舰型 三厢,长安马自达昂克赛拉中控屏脱胶开裂影响使用,"H134,",2020-06-19,处理反馈
486077,吉利汽车,远景,2018款 1.5L 自动 尊贵型,吉利远景经销商丢失钥匙和车辆合格证,"O353,O354,",2020-06-19,处理反馈
486071,上汽集团,名爵ZS,2017款 1.5L 手动 豪华版,上汽名爵ZS变速箱换挡顿挫 刹车片偏磨,"B19,E47,",2020-06-19,厂家受理
486068,广汽本田,雅阁,2016款 2.0L CVT  舒适版,广汽本田雅阁日间行车灯灯带有一半不亮,"H82,",2020-06-19,信息审核
486066,福特（进口）,探险者（进口）,2016款 2.3T 精英版,进口福特探险者刹车片脱落要求厂家解决,"E270,",2020-06-19,厂家受理
486065,广汽本田,雅阁,2016款 2.0L CVT  舒适版,广汽本田雅阁发动机故障灯亮希望解决,"A34,",2020-06-19,信息审核
486063,长安标致雪铁龙DS,DS5,2014款 1.6T 雅致版THP160,长安标致雪铁龙DS5冷车启动时发动机异响,"A9,",2020-06-19,信息审核
486062,吉利汽车,帝豪,2017款 1.5L 手动 向上版 三厢 百万款,吉利帝豪转向时存在异响要求厂家处理,"D59,",2020-06-19,处理反馈
486061,北京现代,朗动,2013款 1.6L 自动 尊贵型,北京现代朗动变速箱降挡顿挫一直未解决,"B19,I295,",2020-06-19,信息审核
486058,上汽集团,荣威RX5 MAX,2019款 400TGI 自动 智能座舱旗舰版,上汽荣威RX5 MAX怠速时发动机抖动,"A24,H211,",2020-06-19,信息审核
486057,众泰汽车,众泰T600,2014款 1.5T 手动 精英型,众泰T600节气门漏气导致行驶中加速无力,"A251,",2020-06-19,厂家受理
486056,一汽-大众奥迪,奥迪Q3,2018款 30 TFSI 时尚型典藏版,一汽大众奥迪Q3发动机高压油泵异响,"A9,",2020-06-19,信息审核
486051,大众（进口）,高尔夫（进口）,2011款 1.4TSI DSG Cross Golf,进口大众高尔夫水泵故障水温过高且无报警,"A191,A221,",2020-06-19,信息审核
486049,一汽-大众,速腾,2018款 280TSI DSG熠动版,一汽大众速腾方向盘磨损脱皮存在质量问题,"H157,",2020-06-19,用户评分
486048,吉利汽车,星越,2019款 350T 耀星者,吉利星越车机死机要求厂家更换硬件,"H155,M279,",2020-06-19,处理反馈
486047,江淮汽车,瑞风M3,2019款 宜家版 1.8L 豪华 智能型,江淮瑞风M3行驶时跑偏轮胎异常磨损,"G245,G117,I295,",2020-06-19,处理反馈
486044,吉利汽车,星越,2019款 350T 耀星者,吉利星越4S店销售人员故意隐瞒厂家增购补贴,"L313,",2020-06-19,用户评分
486040,长城汽车,哈弗H5,2016款 2.0T 四驱精英型 经典版,哈弗H5发动机怠速不稳 涡轮增压器漏油,"A163,A35,A189,",2020-06-19,用户评分
486039,奇瑞汽车,艾瑞泽5,2017款 1.5L 手动 时尚版,奇瑞艾瑞泽5空调漏氟 车载互联无网络,"H146,H155,",2020-06-19,处理反馈
486038,广汽丰田,凯美瑞,2019款 2.0G 豪华版 国VI,广汽丰田凯美瑞喷漆不匀且有生锈现象,"H79,H81,",2020-06-19,信息审核
486037,一汽-大众,速腾,2019款 200TSI DSG 舒适型 国VI,一汽大众速腾升降挡时变速箱异响,"B33,",2020-06-19,处理反馈
486034,上汽大众,途观L,2017款 330TSI 两驱 旗舰版,大众途观L行驶中提示变速箱进入紧急状态,"B96,B84,B77,",2020-06-19,信息审核
486031,广汽本田,雅阁,2018款 260TURBO 精英版 国VI,广汽本田雅阁座椅调节支撑锈蚀掉渣,"H79,",2020-06-19,信息审核
486030,猎豹汽车,Mattu,2018款 1.6T GDI DCT 尊贵型,猎豹Mattu变速箱无动力输出无法正常行驶,"B334,",2020-06-19,信息审核
486029,上汽大众,朗逸,2019款 朗逸启航 1.5L 手动 舒适版 国VI,上汽大众朗逸刹车异响4S店告知正常,"E43,",2020-06-19,信息审核
486027,一汽-大众,速腾,2018款 280TSI DSG熠动版,一汽大众速腾发动机异响 刹车踏板震动,"A9,D80,E111,",2020-06-19,处理反馈
486026,广汽丰田,凯美瑞,2009款 200G 自动 豪华版,广汽丰田凯美瑞中控仪表台腐蚀氧化掉皮,"H176,",2020-06-19,信息审核
486025,吉利汽车,嘉际,2019款 1.5TD MHEV DCT 尊享型,吉利嘉际氛围灯与宣传不符希望厂家处理,"M279,",2020-06-19,用户评分
486022,上汽通用五菱,宝骏310W,2017款 1.5L 手动 舒适型 国V,宝骏310W车辆自燃要求尽快处理问题,"H40,",2020-06-19,处理反馈
486017,东风标致,标致4008,2017款 380THP 豪华GT版,东风标致4008承诺不兑现升级车机后音响无声,"H134,L314,",2020-06-19,处理反馈
486016,一汽大众,捷达VS5,2019款 280TSI 自动 悦享型,捷达VS5前雨刮器导水槽漏水存在质量问题,"H109,",2020-06-19,信息审核
486013,一汽-大众,高尔夫,2018款 230TSI 自动 舒适型,一汽大众高尔夫发动机运转时高压油泵异响,"A9,",2020-06-19,处理反馈
